Percent,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
36,47,84,117,145,176,246,342,406,470,528,635,709,748,824,874,897,969,1054,1101,1174,1235,1265,1332,1419,1485,1534,1591,1652,1698,1761,1814,1873,1945,1989,2060,2063,2139,2208,2235,2284,2391,2457,2469,2544,2605,2619,2706,2776,2884,2950,3006,3183,3271,3232,.,.,.,.,.,.,.
35,49,88,121,155,185,261,359,419,493,553,659,735,773,857,905,927,1002,1088,1136,1209,1270,1300,1370,1458,1522,1577,1634,1700,1736,1812,1858,1922,1993,2033,2109,2113,2191,2262,2296,2335,2442,2505,2520,2599,2655,2664,2774,2833,2932,3024,3049,3207,.,3244,.,.,.,.,.,.,.
34,52,93,126,167,193,274,377,441,521,577,684,764,803,888,940,959,1034,1120,1171,1244,1304,1338,1410,1495,1561,1622,1679,1742,1781,1862,1901,1970,2041,2086,2157,2162,2240,2319,2353,2385,2508,2556,2571,2661,2707,2716,2820,2897,2993,3085,3102,3261,.,3254,.,.,.,.,.,.,.
33,54,98,130,176,203,290,393,459,544,604,712,797,835,927,973,991,1066,1158,1205,1287,1343,1380,1448,1540,1604,1668,1728,1786,1824,1912,1956,2016,2097,2142,2208,2210,2289,2370,2414,2438,2560,2616,2623,2718,2762,2782,2864,2948,3070,3149,3201,.,.,.,.,.,.,.,.,.,.
32,56,103,139,185,213,305,412,484,571,632,739,824,865,955,1005,1022,1103,1193,1243,1326,1383,1418,1494,1587,1646,1710,1779,1838,1869,1963,1999,2068,2154,2203,2267,2258,2337,2431,2473,2490,2616,2678,2681,2769,2813,2828,2913,3023,3124,3212,3236,.,.,.,.,.,.,.,.,.,.
31,59,109,146,201,223,321,433,507,600,660,772,854,899,989,1034,1057,1143,1230,1285,1363,1428,1459,1537,1633,1694,1756,1820,1887,1918,2008,2054,2123,2204,2266,2332,2311,2398,2484,2529,2547,2676,2742,2743,2827,2889,2881,2975,3104,3168,3252,.,.,.,.,.,.,.,.,.,.,.
30,62,115,157,211,233,337,456,531,623,687,800,887,933,1027,1068,1090,1180,1270,1327,1402,1469,1499,1578,1680,1741,1802,1869,1939,1968,2057,2100,2172,2260,2326,2384,2375,2453,2546,2586,2609,2737,2797,2820,2878,2945,2947,3048,3152,3202,.,.,.,.,.,.,.,.,.,.,.,.
29,65,121,167,221,249,356,485,562,645,713,832,921,971,1062,1111,1122,1222,1308,1363,1447,1508,1540,1623,1728,1795,1853,1920,1987,2022,2108,2158,2218,2322,2372,2440,2441,2519,2619,2645,2672,2795,2863,2882,2942,3021,3022,3094,3215,3246,.,.,.,.,.,.,.,.,.,.,.,.
28,68,128,175,238,260,378,510,598,674,742,859,956,1010,1100,1149,1158,1268,1356,1409,1493,1558,1587,1665,1769,1846,1898,1969,2040,2083,2169,2214,2280,2385,2436,2494,2500,2579,2683,2717,2732,2868,2928,2939,3018,3079,3098,3190,3264,3265,.,.,.,.,.,.,.,.,.,.,.,.
27,71,137,188,252,275,400,533,630,701,775,896,995,1048,1140,1187,1198,1308,1400,1458,1540,1599,1635,1722,1820,1899,1962,2029,2107,2131,2230,2263,2337,2457,2513,2552,2564,2648,2747,2771,2813,2935,3017,3006,3088,3152,3156,3233,.,.,.,.,.,.,.,.,.,.,.,.,.,.
