AgeC_rcs1,AgeC_rcs2,AgeC_rcs3,AgeC_rcs4,PackYearsC_rcs1,PackYearsC_rcs2,SmokeFormer0to5C_cat,SmokeFormer5PlusC_cat,SmokeCurrentC_cat,AgeCXPackYearsC_int,AgeCXSmokeFormer0to5C_int,AgeCXSmokeFormer5PlusC_int,AgeCXSmokeCurrentC_int,DrinksLastWeekC_rcs1,DrinksLastWeekC_rcs2,AgeCXDrinksLastWeekC_int,FruitVegC_rcs1,FruitVegC_rcs2,AgeCXFruitVegC_int,PotatoC_rcs1,PotatoC_rcs2,AgeCXPotatoC_int,JuiceC_cont,AgeCXJuiceC_int,BMIC_rcs1,BMIC_rcs2,AgeCXBMIC_int,EduHSGrad2C_cat,EduSomePS2C_cat,EduPSGrad2C_cat,DiabetesC_cat,AgeCXDiabetesC_int,HypertensionC_cat,AgeCXHypertensionC_int,SurveyCycle2C_cat,SurveyCycle3C_cat,SurveyCycle4C_cat,H0_1Year,H0_5Year
0.220707271,-0.387370968,0.678715446,-0.121594445,0.006762773,-0.019200289,0.225293966,-0.019589709,0.686172633,-0.000127029,-0.004390364,0.003182039,-0.016308809,-0.044878993,0.128246307,0.000168538,-0.161954311,0.083388305,0.00143565,0.956253655,-0.929866818,-0.017834644,0.087054697,-0.002823754,0.071443986,-0.043507615,-0.001591811,-0.046337703,-0.004228469,-0.260748788,0.52546399,-0.00626486,0.487941568,-0.014569793,-0.189219125,-0.158526319,-0.403740318,0.018294394,0.079714407
0.215373915,-0.390441771,0.764859181,-0.283046806,0.002236973,-0.009022207,0.462718067,0.082334152,0.87731285,-0.000101414,-0.016986984,0.000890253,-0.014456035,-0.061219149,0.155288707,0.000447052,-0.24886556,0.198448022,0.003315555,1.062658039,-1.486794605,-0.011191693,0.086568078,-0.003759079,0.09172232,-0.06886234,-0.000785125,-0.107822169,0.083999249,-0.216449038,0.820146798,-0.022392957,0.486716268,-0.015870869,0.009828281,-0.144798557,-0.434716755,0.013273555,0.067944091
0.210470061,-0.29371058,0.305092121,0.344408448,0.006369321,-0.016457535,0.117952457,-0.014044136,0.760651503,-0.000198704,0.003830161,0.005869689,-0.013176267,-0.061399051,0.169421456,0.000180775,-0.2288999,0.2036136,-9.94115E-06,0.518756861,-0.519839589,-0.002519386,0.078861912,-0.003130558,0.083791245,-0.063102365,-0.000570068,0.004301037,-0.026784648,-0.248066618,0.547617524,-0.007799186,0.523178088,-0.021696796,-0.130080213,-0.064495534,-0.484814341,0.012622018,0.056976414
0.205577561,-0.33093939,0.531743648,-0.015060937,0.006607332,-0.005462204,0.254202417,-0.023831268,0.647698398,-0.000232268,-0.000367936,0.005752829,-0.00881427,-0.0417774,0.098822019,3.92278E-05,-0.183000057,0.123585429,0.001791039,0.712307062,-0.833773583,-0.002580366,0.096228975,-0.003671093,0.098017207,-0.073723822,-0.000991793,0.051126153,-0.054910585,-0.213044212,0.496746478,-0.010482025,0.443839347,-0.013784875,-0.05579681,-0.252061234,-0.368051153,0.015455324,0.069473356
0.236950099,-0.35324988,0.519445854,0.055141952,0.001012203,-0.001915174,0.495682421,-0.27361788,0.794330226,-0.000197687,-0.012216437,0.011446736,-0.015957956,-0.030665548,0.065295736,0.000372484,-0.164861811,0.041799334,0.003719893,0.626436744,-0.718677483,-0.005438256,0.071014807,-0.005029781,0.06037723,-0.039219839,-0.000172535,-0.043754415,0.012911564,-0.196000277,0.401561503,-0.002641638,0.569982181,-0.018599219,-0.103989939,-0.091932548,-0.544701725,0.016846454,0.075489092
0.110443331,0.090332677,-0.553490276,0.724931514,0.011677647,-0.041672012,0.211532963,-0.056671193,0.622835062,-0.000212684,-0.000196163,0.004406177,-0.007721058,-0.049483977,0.147117316,-0.000116161,-0.186788009,0.146736781,0.001882924,0.687889192,-1.5033422,0.001084024,0.091337494,-0.0053709,0.065638715,-0.036809302,-0.001139586,-0.092586093,-0.21707235,-0.258340933,0.666793081,-0.016005837,0.328508873,-0.012097898,-0.080087987,-0.264636212,-0.417444887,0.00272615,0.012897724
0.214858345,-0.335428246,0.525456222,-0.009569608,0.018193347,-0.079779993,0.053674211,-0.170268931,0.586295505,-0.00024811,0.007766614,0.009967649,-0.00495987,-0.046599855,0.115085219,-3.75922E-05,-0.233100999,0.255065954,7.23917E-05,0.727559901,-0.806777711,-0.006067994,0.056015957,-0.000461339,0.052557312,-0.034294016,-0.000795368,-0.011814009,-0.040521145,-0.339757938,0.63219999,-0.011370484,0.389822661,-0.010209741,-0.091128328,-0.140409454,-0.592132555,0.012901237,0.062760339
0.322615171,-0.779412248,1.667198555,-0.783706367,0.00860588,-0.016582566,0.229645024,-0.03823636,0.598110746,-0.000327225,-0.008042886,0.006692158,-0.012861065,-0.048274,0.107698446,0.0004647,-0.167495059,0.096990403,0.000987204,0.620470255,-0.263463164,-0.014060704,0.038605302,9.84839E-05,0.076835146,-0.051360371,-0.001158647,-0.072125929,-0.062135873,-0.285085955,0.700250662,-0.018444615,0.401435998,-0.013425236,-0.078017383,-0.171909554,-0.41043869,0.070074583,0.299195603
0.203006842,-0.272123491,0.310118669,0.248396541,0.010101557,-0.040052719,0.361334068,0.169243504,0.87077025,-0.000180955,-0.002453553,-0.00603838,-0.013650831,-0.048161693,0.124530562,0.000224624,-0.171543615,0.12189394,0.002260154,1.054355692,-1.512526966,-0.012827144,0.121602291,-0.005352575,0.094977981,-0.061174076,-0.001199628,-0.169991781,-0.220744896,-0.21215002,0.617214916,-0.0082065,0.533020542,-0.018645649,-0.006362881,-0.115775561,-0.393270577,0.013373444,0.05939715
0.193620037,-0.269141234,0.394008246,0.027314829,0.004518353,-0.00744829,0.286460449,-0.087770402,0.774658843,-0.000188618,-0.003379008,0.01131468,-0.006170769,-0.033445594,0.063594916,0.000329137,-0.103212026,0.052311114,0.001624162,0.033739924,0.289642315,0.000815652,0.074899403,-0.003563457,0.074413633,-0.058967782,-0.001260783,-0.180979223,-0.130950515,-0.29362022,0.37335745,-0.002857811,0.507982222,-0.020336009,-0.052059549,-0.157961743,-0.432528878,0.011053191,0.050213404
