AgeC_rcs1,AgeC_rcs2,AgeC_rcs3,AgeC_rcs4,PackYearsC_rcs1,PackYearsC_rcs2,SmokeFormer0to5C_cat,SmokeFormerPlus5C_cat,SmokeCurrentC_cat,AgeCXPackYearsC_int,AgeCXSmokeFormer0to5C_int,AgeCXSmokeFormerPlus5C_int,AgeCXSmokeCurrentC_int,DrinksLastWeekC_rcs1,FormerDrinkerC_cat,AgeCXDrinksLastWeekC_int,AgeCXFormerDrinkerC_int,FruitVegC_rcs1,FruitVegC_rcs2,AgeCXFruitVegC_int,PhysicalActivityC_rcs1,PhysicalActivityC_rcs2,AgeCXPhysicalActivityC_int,BMIC_rcs1,BMIC_rcs2,AgeCXBMIC_int,EduHSGrad2C_cat,EduSomePS2C_cat,EduPSGrad2C_cat,DiabetesC_cat,AgeCXDiabetesC_int,HypertensionC_cat,AgeCXHypertensionC_int,SurveyCycle2C_cat,SurveyCycle3C_cat,SurveyCycle4C_cat,H0_1Year,H0_5Year
0.013212877,0.437678803,-1.290861501,1.214250296,0.0325116,-34.37342716,-0.121628667,-0.25356013,0.911386254,-0.000365217,0.011087388,0.007241861,-0.01652708,-0.024986738,0.321398269,0.000754545,-0.008514994,-0.031246096,0.064615426,-0.001504092,-0.175180836,0.196199614,0.002198064,0.026896665,-0.002555671,-0.001037946,-0.109428127,0.010595336,-0.19436819,0.718021901,-0.014789475,0.49053985,-0.007539789,-0.135881682,-0.227083188,-0.468828018,0.000176585,0.000966105
0.141043443,-0.151148663,0.298902429,-0.106747636,0.02171615,-23.508937,0.175053774,-0.21713929,1.137937973,-0.00024342,0.008897395,0.00877974,-0.022966289,-0.027862738,0.091389486,0.000892617,1.77422E-05,-0.021625704,0.049007952,-0.001044965,-0.17840131,0.192819714,0.00083789,0.038536159,-0.015556234,-0.00051098,-0.05013678,0.002746193,-0.192875389,0.864144184,-0.016201902,0.292383769,-0.005195792,-0.10969282,-0.41312075,-0.571950413,0.001957327,0.010260339
0.072335065,0.179997031,-0.645016914,0.76501497,0.002581706,7.898682823,0.175741164,0.054016746,1.26245211,-0.00030367,0.010264312,0.007623022,-0.022494557,-0.028880111,0.304348137,0.00047291,-0.006211374,0.005488423,0.0357123,-0.001639185,-0.199571595,0.209896474,0.00027335,0.019002713,-0.013027595,-0.000618034,-0.145535936,-0.136624694,-0.11343738,1.151558948,-0.029204,0.245322005,0.002535712,-0.125316061,-0.296890662,-0.29658962,0.000444292,0.002477398
0.153099094,-0.19113567,0.467836483,-0.387357265,0.028977329,-31.70650471,0.608197036,-0.10964969,1.075966409,-0.000217975,-0.018221865,0.007341834,-0.030550986,-0.011463888,0.292635262,-0.00034694,-0.003577575,-0.076157446,0.135780747,-0.001686824,-0.184539987,0.163610537,0.002767147,0.004992168,0.008580637,-0.000320639,-0.039240688,-0.257059374,-0.142671241,1.152211747,-0.02870908,0.364162521,-0.009871056,-0.071352907,-0.292713941,-0.43760663,0.001536409,0.008920176
0.129669644,-0.137852867,0.339404537,-0.271951715,0.030232587,-27.84170467,0.472160066,-0.140540402,1.105865943,-0.000334873,-0.018685991,0.005222171,-0.024927855,-0.020956612,0.115685391,0.000363186,-0.001641942,-0.020089389,0.058268457,-0.001426822,-0.111932657,0.102541813,0.001772198,0.018292515,-0.001891818,-0.000172789,-0.149212803,-0.101900703,-0.189692701,0.93453895,-0.017386408,0.195073197,0.000402134,-0.180728158,-0.254768783,-0.367748378,0.001678448,0.008798141
0.252144514,-0.58516048,1.455630849,-1.130211294,0.015344867,-8.391136712,0.456316133,0.074702728,1.100542946,-0.000222685,-0.007710126,0.00048049,-0.026871339,0.020341113,0.471488911,-0.000940758,-0.014981773,-0.102235615,0.128783789,0.000266145,-0.194606688,0.222693542,0.001179788,0.009298032,0.009055127,-0.000268187,-0.018946238,-0.117494413,-0.103810178,1.062587062,-0.03224713,0.399967319,-0.006737398,-0.226885539,-0.310077143,-0.674507183,0.008784513,0.044294375
0.110154894,-0.029970817,0.022257996,0.022846517,0.019526209,-5.631920599,-0.319898023,-0.323376899,0.892754122,-0.000407476,0.007359071,0.009317149,-0.024044118,-0.01334211,0.320716513,0.000385122,-0.007654908,0.010134003,0.060089566,-0.002001488,-0.200332223,0.249384666,0.001569237,0.0099558,0.005862814,-0.000110976,-0.112191969,0.072083315,-0.296796604,0.983848995,-0.024662346,0.267834831,0.000277249,-0.044214189,-0.10496032,-0.439272607,0.001025864,0.004729057
0.094676829,0.041926277,-0.139586465,0.127687056,0.012953559,-0.799411779,-0.074332128,-0.355463986,1.11435062,-0.000414583,0.018500454,0.016462024,-0.019896721,-0.003861143,0.185798933,-0.000186275,-0.004721029,0.037641172,0.00123788,-0.001926984,-0.172287701,0.074437828,0.003918261,0.04075984,-0.01762344,-0.000842883,-0.063317407,0.032595659,-0.304292115,0.925810944,-0.016807345,0.288802513,-0.002411634,-0.055809645,-0.272894939,-0.486176883,0.000595132,0.003569464
0.101465659,-0.128026979,0.477136744,-0.622991122,0.033071186,-29.75312194,0.212726667,-0.307896048,0.951034093,-0.000571518,0.001236475,0.015577731,-0.015305641,-0.028074823,0.200434045,0.00066908,-0.004118515,0.003311729,0.045756752,-0.001436663,-0.14122133,0.069506031,0.002237852,0.03363892,-0.018920451,-0.000286252,0.03923934,-0.026741709,-0.181674492,1.153028465,-0.022678501,0.463352541,-0.009503964,-0.073557395,-0.283361179,-0.508783726,0.001250352,0.007344918
0.114966336,-0.271034401,0.977665684,-1.216296389,0.024804475,-14.5743934,0.330549815,0.110172477,1.015980449,-0.000439638,-0.014762066,-0.005701369,-0.024036791,-0.056230552,0.133860585,0.001597419,-0.001868044,-0.030685318,0.02811467,0.000608198,-0.151298051,0.213607285,0.000141211,0.020056732,0.001909068,-4.31394E-05,-0.156525435,-0.080655898,-0.249653414,0.932380182,-0.027250526,0.548036793,-0.011214191,0.002163402,-0.337571146,-0.480616393,0.001449359,0.008648421
